AI0,AI2,AO0
-0.0034064,1.0686868,0.0
-0.0032114,1.0749808,0.0
-0.0036656,1.0786144,0.0
-0.0025626,1.0780952,0.0
-0.0043146,1.072645,0.0
-0.0036006,1.068103,0.0
-0.0024978,1.0694654,0.0
-0.0039254,1.0721908,0.0
-0.0026924,1.0736182,0.0
-0.00412,1.0789388,0.0
-0.0033412,1.080561,0.0
-0.0026924,1.0756296,0.0
-0.0044442,1.0695954,0.0
-0.0027574,1.0694656,0.0
-0.0016542,1.0755648,0.0
-0.0036658,1.0794578,0.0
-0.0026276,1.085557,0.0
-0.0025626,1.0835458,0.0
-0.0033414,1.0740074,0.0
-0.002498,1.072061,0.0
-0.0033412,1.0717366,0.0
-0.0023682,1.076992,0.0
-0.0013298,1.0877632,0.0
-0.0030816,1.087763,0.0
-0.0023032,1.081534,0.0
-0.00399,1.076019,0.0
-0.0020436,1.0714768,0.0
-0.0028222,1.0747862,0.0
-0.0043144,1.0808204,0.0
-0.0014596,1.0912022,0.0
-0.0026924,1.0893204,0.0
-0.003471,1.0807556,0.0
-0.0031468,1.075954,0.0
-0.0046388,1.0733588,0.0
-0.0023684,1.079393,0.0
-0.0038606,1.0864654,0.0
-0.0041848,1.0920456,0.0
-0.001784,1.0930836,0.0
-0.0043794,1.0815342,0.0
-0.0032764,1.0758244,0.0
-0.0033412,1.076538,0.0
-0.0048336,1.0777708,0.0
-0.002952,1.0912022,0.0
-0.0041198,1.093992,0.0
-0.0044442,1.088996,0.0
-0.0023032,1.0857518,0.0
-0.0041846,1.076538,0.0
-0.0037954,1.0775762,0.0
-0.00412,1.083935,0.0
-0.0043796,1.0891256,0.0
-0.0037956,1.0915912,0.0
-0.004574,1.0878928,0.0
-0.0039252,1.0819234,0.0
-0.0026924,1.0795228,0.0
-0.004509,1.0806906,0.0
-0.002887,1.0875034,0.0
